,GesamtEnergie,rectime,ZeigerWinkel
 20220509_16_09_47.wav,2.0590415000915527,2022-05-09 16:09:47,links
 20220509_16_09_56.wav,5.22749662399292,2022-05-09 16:09:56,oben
 20220509_16_10_04.wav,0.5878310203552246,2022-05-09 16:10:04,oben
 20220509_16_10_08.wav,2.0109975337982178,2022-05-09 16:10:08,rechts
 20220509_16_10_11.wav,3.7788047790527344,2022-05-09 16:10:11,rechts
 20220509_16_10_42.wav,3.060913324356079,2022-05-09 16:10:42,links
 20220509_16_10_45.wav,4.339564323425293,2022-05-09 16:10:45,links
 20220509_16_12_41.wav,1.6505835056304932,2022-05-09 16:12:41,links
 20220509_16_12_44.wav,1.3707880973815918,2022-05-09 16:12:44,links
 20220509_16_12_47.wav,2.0827763080596924,2022-05-09 16:12:47,links
 20220509_16_12_50.wav,0.8192169070243835,2022-05-09 16:12:50,links
 20220509_16_12_53.wav,0.5748727321624756,2022-05-09 16:12:53,oben
 20220509_16_12_56.wav,0.5943222045898438,2022-05-09 16:12:56,oben
 20220509_16_12_59.wav,0.5850403308868408,2022-05-09 16:12:59,oben
 20220509_16_13_02.wav,0.8770309090614319,2022-05-09 16:13:02,oben
 20220509_16_13_05.wav,1.5830678939819336,2022-05-09 16:13:05,oben
 20220509_16_13_08.wav,2.361145257949829,2022-05-09 16:13:08,rechts
 20220509_16_13_11.wav,1.1626664400100708,2022-05-09 16:13:11,rechts
 20220509_16_13_14.wav,1.9890427589416504,2022-05-09 16:13:14,rechts
 20220509_16_13_17.wav,2.492567300796509,2022-05-09 16:13:17,rechts
 20220509_16_13_20.wav,0.7453446984291077,2022-05-09 16:13:20,rechts
 20220509_16_13_23.wav,0.6581010818481445,2022-05-09 16:13:23,unten
 20220509_16_13_26.wav,0.432353675365448,2022-05-09 16:13:26,unten
 20220509_16_13_30.wav,0.8232679963111877,2022-05-09 16:13:30,unten
 20220509_16_13_33.wav,0.42518752813339233,2022-05-09 16:13:33,unten
 20220509_16_13_36.wav,0.44524168968200684,2022-05-09 16:13:36,unten
 20220509_16_13_39.wav,1.6629332304000854,2022-05-09 16:13:39,links
 20220509_16_13_42.wav,1.090749979019165,2022-05-09 16:13:42,links
 20220509_16_13_45.wav,0.947195827960968,2022-05-09 16:13:45,links
 20220509_16_13_48.wav,1.5763014554977417,2022-05-09 16:13:48,links
 20220509_16_13_51.wav,0.7120019197463989,2022-05-09 16:13:51,links
 20220509_16_13_54.wav,0.36832723021507263,2022-05-09 16:13:54,oben
 20220509_16_13_57.wav,0.32017022371292114,2022-05-09 16:13:57,oben
 20220509_16_14_00.wav,0.5219603180885315,2022-05-09 16:14:00,oben
 20220509_16_14_03.wav,0.8912241458892822,2022-05-09 16:14:03,oben
 20220509_16_14_06.wav,1.0604140758514404,2022-05-09 16:14:06,oben
 20220509_16_14_09.wav,3.2847671508789062,2022-05-09 16:14:09,rechts
 20220509_16_14_12.wav,2.083024740219116,2022-05-09 16:14:12,rechts
 20220509_16_14_15.wav,0.8422881364822388,2022-05-09 16:14:15,rechts
 20220509_16_14_18.wav,2.2958767414093018,2022-05-09 16:14:18,rechts
 20220509_16_14_21.wav,1.317326545715332,2022-05-09 16:14:21,rechts
 20220509_16_14_24.wav,0.6381812691688538,2022-05-09 16:14:24,unten
 20220509_16_15_50.wav,0.6551139950752258,2022-05-09 16:15:50,links
 20220509_16_15_53.wav,0.6388841867446899,2022-05-09 16:15:53,oben
 20220509_16_15_56.wav,0.3262542188167572,2022-05-09 16:15:56,oben
 20220509_16_15_59.wav,0.3912354111671448,2022-05-09 16:15:59,oben
 20220509_16_16_02.wav,0.5239624381065369,2022-05-09 16:16:02,oben
 20220509_16_16_06.wav,0.8732963800430298,2022-05-09 16:16:06,oben
 20220509_16_16_09.wav,1.8013994693756104,2022-05-09 16:16:09,rechts
 20220509_16_16_12.wav,1.449632167816162,2022-05-09 16:16:12,rechts
 20220509_16_16_15.wav,1.432254433631897,2022-05-09 16:16:15,rechts
 20220509_16_16_18.wav,2.019162893295288,2022-05-09 16:16:18,rechts
 20220509_16_16_21.wav,1.059217929840088,2022-05-09 16:16:21,rechts
 20220509_16_16_24.wav,0.4270831048488617,2022-05-09 16:16:24,unten
 20220509_16_16_27.wav,0.46467941999435425,2022-05-09 16:16:27,unten
 20220509_16_16_33.wav,0.5803870558738708,2022-05-09 16:16:33,unten
 20220509_16_16_36.wav,4.842743396759033,2022-05-09 16:16:36,unten
 20220509_16_16_39.wav,1.5257576704025269,2022-05-09 16:16:39,links
 20220509_16_16_42.wav,1.0855956077575684,2022-05-09 16:16:42,links
 20220509_16_16_45.wav,1.0703260898590088,2022-05-09 16:16:45,links
 20220509_16_16_48.wav,2.181264877319336,2022-05-09 16:16:48,links
 20220509_16_16_51.wav,0.5314816832542419,2022-05-09 16:16:51,links
 20220509_16_16_54.wav,0.45773300528526306,2022-05-09 16:16:54,oben
 20220509_16_16_57.wav,1.5747774839401245,2022-05-09 16:16:57,oben
 20220509_16_17_00.wav,0.49686574935913086,2022-05-09 16:17:00,oben
 20220509_16_17_03.wav,0.7463443875312805,2022-05-09 16:17:03,oben
 20220509_16_17_06.wav,0.812627375125885,2022-05-09 16:17:06,oben
 20220509_16_17_09.wav,1.370937705039978,2022-05-09 16:17:09,rechts
 20220509_16_17_12.wav,0.8561496734619141,2022-05-09 16:17:12,rechts
 20220509_16_17_15.wav,1.1180462837219238,2022-05-09 16:17:15,rechts
